Date : 2024-03-16 00:24:48
Directory : e:\VSCODE\WORK\bitcoinetf.org
Total : 682 files,  65808 codes, 1069 comments, 9731 blanks, all 76608 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\vk.svg                                                       | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\wallet.svg                                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\withdraw.svg                                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\x.svg                                                        | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\jalal.svg                                                               | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\logo-white.svg                                                          | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\logo.svg                                                                | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\Insider-dark.svg                                               | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\business-insider-dark.svg                                      | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\business-insider.svg                                           | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\coindesk-dark.svg                                              | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\coindesk.svg                                                   | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\forbes-dark.svg                                                | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\forbes.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\techcruch-dark.svg                                             | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\partners\techcrunch.svg                                                 | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\baa.svg                                                       | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\boa.svg                                                       | SVG                |         26 |          0 |          1 |         27 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\brf.svg                                                       | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\fba.svg                                                       | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\sba.svg                                                       | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\usdt.svg                                                      | SVG                |         19 |          0 |          1 |         20 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\portfolio\vault.svg                                                     | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\purchase\certificate-btc.svg                                            | SVG                |        333 |          0 |          1 |        334 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\purchase\certificate-usdt.svg                                           | SVG                |        322 |          0 |          1 |        323 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\qr-code-test.svg                                                        | SVG                |        333 |          0 |          1 |        334 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\check.svg                                                     | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-act\arrow.svg                                          | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-earnings\arrow.svg                                     | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-footer\logo.svg                                        | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-footer\send.svg                                        | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-fund-ceo\arrow.svg                                     | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-fund-main\arrow.svg                                    | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-fund\icon.svg                                          | SVG                |          7 |          0 |          1 |          8 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-investor\arrow.svg                                     | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-main\info.svg                                          | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-marquee\1.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-marquee\2.svg                                          | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-marquee\3.svg                                          | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-marquee\4.svg                                          | SVG                |         24 |          0 |          1 |         25 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-protection\arrow.svg                                   | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-referrals-id\arrow.svg                                 | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-referrals-main\arrow.svg                               | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-referrals-share\arrow.svg                              | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-ultimate\arrow.svg                                     | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site-dark\s-site-welcome\heart.svg                                      | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site_v2\bonus\mir.svg                                                   | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\site_v2\slider\1.svg                                                    | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\test.svg                                                                | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\marquee\StreetInsider.com.svg                                               | SVG                |         21 |          0 |          1 |         22 |
| e:\VSCODE\WORK\bitcoinetf.org\public\marquee\ap.svg                                                              | SVG                |          7 |          0 |          1 |          8 |
| e:\VSCODE\WORK\bitcoinetf.org\public\marquee\bi.svg                                                              | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\marquee\digitaljournal.svg                                                  | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\marquee\nm.svg                                                              | SVG                |         16 |          0 |          1 |         17 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\adapters\apiAdapter.ts                                                     | TypeScript         |        243 |          2 |         29 |        274 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\adapters\ethAdapter.ts                                                     | TypeScript         |         80 |          6 |         25 |        111 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\adapters\infoAdapter.ts                                                    | TypeScript         |         77 |          6 |         23 |        106 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\app.ts                                                                     | TypeScript         |         34 |          1 |          7 |         42 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\localStorage.ts                                                            | TypeScript         |         18 |          0 |          6 |         24 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\middleware\auth.global.ts                                                  | TypeScript         |         23 |          0 |          9 |         32 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\middleware\buy-shares-payment.ts                                           | TypeScript         |          8 |          0 |          2 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\middleware\fix-scroll-position.global.ts                                   | TypeScript         |          8 |          0 |          4 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\plugins\01.vtinput.client.ts                                               | TypeScript         |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\plugins\02.app.ts                                                          | TypeScript         |         62 |          3 |         12 |         77 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\plugins\03.init.ts                                                         | TypeScript         |         72 |         15 |          6 |         93 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\plugins\04.Vue3Marquee.client.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\plugins\05.marketing-counters.client.ts                                    | TypeScript         |         24 |          3 |          6 |         33 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\skeletons.ts                                                               | TypeScript         |         40 |          0 |         10 |         50 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store.ts                                                                   | TypeScript         |         69 |          0 |         13 |         82 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\asset.ts                                                             | TypeScript         |          7 |          0 |          2 |          9 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\assets.ts                                                            | TypeScript         |         23 |          0 |         11 |         34 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\auth.ts                                                              | TypeScript         |        113 |         41 |         23 |        177 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\authGoogle.ts                                                        | TypeScript         |         19 |          0 |          5 |         24 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\authTelegram.ts                                                      | TypeScript         |         19 |          0 |          5 |         24 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\persiste.ts                                                          | TypeScript         |         11 |          0 |          3 |         14 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\store\user.ts                                                              | TypeScript         |         55 |          1 |          7 |         63 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\_icons.scss                                                         | SCSS               |          1 |          0 |          1 |          2 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\_variables.scss                                                     | SCSS               |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\colors\_colors.scss                                                 | SCSS               |         90 |          1 |         26 |        117 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\colors\index.scss                                                   | SCSS               |          1 |          0 |          1 |          2 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\global.scss                                                         | SCSS               |        242 |         12 |         55 |        309 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\helpers\index.scss                                                  | SCSS               |          0 |          0 |          1 |          1 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\proxy-global.scss                                                   | SCSS               |          4 |          0 |          2 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\sizes\_border_radius.scss                                           | SCSS               |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\sizes\_scale.scss                                                   | SCSS               |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\sizes\_z_index.scss                                                 | SCSS               |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\sizes\index.scss                                                    | SCSS               |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\tools\_breakpoints.scss                                             | SCSS               |         46 |          0 |          6 |         52 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\tools\_layout.scss                                                  | SCSS               |        168 |          5 |         34 |        207 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\tools\_style-reset.scss                                             | SCSS               |        117 |          0 |         13 |        130 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\tools\_utils.scss                                                   | SCSS               |         22 |          0 |          4 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\tools\index.scss                                                    | SCSS               |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\_controls.scss                                           | SCSS               |         60 |          0 |         12 |         72 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\_fonts.scss                                              | SCSS               |        134 |          0 |         17 |        151 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\_headings.scss                                           | SCSS               |         99 |          0 |         22 |        121 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\_text.scss                                               | SCSS               |         86 |          0 |         18 |        104 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\_variables.scss                                          | SCSS               |          2 |          0 |          1 |          3 |
| e:\VSCODE\WORK\bitcoinetf.org\src\app\styles\typography\index.scss                                               | SCSS               |          5 |          0 |          1 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-apply-credit-card-modal\e-apply-credit-card-modal.scss              | SCSS               |         68 |          0 |         18 |         86 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-apply-credit-card-modal\e-apply-credit-card-modal.vue               | Vue                |         60 |          0 |          6 |         66 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-apply-credit-success-modal\e-apply-credit-success-modal.scss        | SCSS               |         41 |          0 |          8 |         49 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-apply-credit-success-modal\e-apply-credit-success-modal.vue         | Vue                |         46 |          0 |          8 |         54 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-asset-stats\e-asset-stats.scss                                      | SCSS               |         18 |          0 |          5 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-asset-stats\e-asset-stats.vue                                       | Vue                |        102 |          0 |         17 |        119 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-assets\e-assets.scss                                                | SCSS               |         31 |          1 |          7 |         39 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-assets\e-assets.vue                                                 | Vue                |         72 |          0 |         10 |         82 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-breadcrumbs\e-breadcrumbs.scss                                      | SCSS               |         25 |          0 |          5 |         30 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-breadcrumbs\e-breadcrumbs.vue                                       | Vue                |         62 |          0 |         12 |         74 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-buy-shares-processing-modal\e-buy-shares-processing-modal.scss      | SCSS               |         41 |          0 |          9 |         50 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-buy-shares-processing-modal\e-buy-shares-processing-modal.vue       | Vue                |         40 |          0 |          8 |         48 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-buy-shares-success-modal\e-buy-shares-success-modal.scss            | SCSS               |        123 |          0 |         22 |        145 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-buy-shares-success-modal\e-buy-shares-success-modal.vue             | Vue                |        157 |          0 |         14 |        171 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-earning-processing\e-earning-processing.scss                        | SCSS               |         39 |          0 |          6 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-earning-processing\e-earning-processing.vue                         | Vue                |          8 |          0 |          2 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-earnings-empty\e-earnings-empty.scss                                | SCSS               |         39 |          0 |          6 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-earnings-empty\e-earnings-empty.vue                                 | Vue                |         18 |          0 |          3 |         21 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-empty-data\e-empty-data.scss                                        | SCSS               |         70 |          0 |         12 |         82 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-empty-data\e-empty-data.vue                                         | Vue                |         19 |          0 |          3 |         22 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-finish-kyc\e-finish-kyc.scss                                        | SCSS               |         41 |          0 |          8 |         49 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-finish-kyc\e-finish-kyc.vue                                         | Vue                |         45 |          0 |          8 |         53 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-header-links\e-header-links.scss                                    | SCSS               |         44 |          0 |         10 |         54 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-header-links\e-header-links.vue                                     | Vue                |         40 |          0 |          8 |         48 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-image\e-image.vue                                                   | Vue                |         12 |          0 |          4 |         16 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-invest-modal\e-invest-modal.scss                                    | SCSS               |        151 |          0 |         48 |        199 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-invest-modal\e-invest-modal.vue                                     | Vue                |        288 |         26 |         50 |        364 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-kyc-start-modal\e-kyc-start-modal.scss                              | SCSS               |         73 |          0 |         16 |         89 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-kyc-start-modal\e-kyc-start-modal.vue                               | Vue                |         66 |          0 |          8 |         74 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-kyc-thanks-modal\e-kyc-thanks-modal.scss                            | SCSS               |         48 |          0 |         11 |         59 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-kyc-thanks-modal\e-kyc-thanks-modal.vue                             | Vue                |         43 |          0 |          6 |         49 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\e-page-info-modal.scss                              | SCSS               |        134 |          0 |         25 |        159 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\e-page-info-modal.vue                               | Vue                |         57 |          0 |          8 |         65 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-activity.vue                         | Vue                |         50 |          0 |          6 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-analytics.vue                        | Vue                |         83 |          0 |         16 |         99 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-buy-shares.vue                       | Vue                |         78 |          0 |         14 |         92 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-currency.vue                         | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-earnings.vue                         | Vue                |         66 |          0 |         16 |         82 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-latest-trades.vue                    | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-purchases.vue                        | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-settings.vue                         | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-shareholders.vue                     | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-statements.vue                       | Vue                |         52 |          0 |          6 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-page-info-modal\ui\e-page-info-wallet.vue                           | Vue                |         81 |          0 |         22 |        103 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-picture\e-picture.vue                                               | Vue                |         17 |          0 |          6 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-processing-payment\e-processing-payment.scss                        | SCSS               |         39 |          0 |          6 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-processing-payment\e-processing-payment.vue                         | Vue                |         20 |          0 |          3 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-referral-share-modal\e-referral-share-modal.scss                    | SCSS               |        108 |          0 |         23 |        131 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-referral-share-modal\e-referral-share-modal.vue                     | Vue                |        131 |          0 |         16 |        147 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-registration-bonus-modal\e-registration-bonus-modal.scss            | SCSS               |         42 |          0 |          9 |         51 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-registration-bonus-modal\e-registration-bonus-modal.vue             | Vue                |         65 |          0 |         15 |         80 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-send-to-buy-shares\e-send-to-buy-shares.scss                        | SCSS               |         44 |          0 |          7 |         51 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-send-to-buy-shares\e-send-to-buy-shares.vue                         | Vue                |         48 |          0 |         10 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stat\e-stat.scss                                                    | SCSS               |        194 |          1 |         34 |        229 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stat\e-stat.vue                                                     | Vue                |        116 |          1 |          7 |        124 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stats-apy\e-stats-apy.scss                                          | SCSS               |         30 |          3 |          6 |         39 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stats-apy\e-stats-apy.vue                                           | Vue                |         61 |          0 |         10 |         71 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stats-protection\e-stats-protection.scss                            | SCSS               |         19 |          0 |          6 |         25 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-stats-protection\e-stats-protection.vue                             | Vue                |         38 |          0 |          7 |         45 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-success-modal\e-success-modal.scss                                  | SCSS               |        131 |          3 |         36 |        170 |
| e:\VSCODE\WORK\bitcoinetf.org\src\entities\e-success-modal\e-success-modal.vue                                   | Vue                |        127 |          3 |         14 |        144 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\e-fund-tabs\e-fund-tabs.scss                                          | SCSS               |         38 |          0 |          5 |         43 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\e-fund-tabs\e-fund-tabs.vue                                           | Vue                |         36 |          0 |          8 |         44 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-kyc\f-kyc.scss                                                      | SCSS               |        121 |          0 |         25 |        146 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-kyc\f-kyc.vue                                                       | Vue                |        376 |          0 |         49 |        425 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-login\f-login.scss                                                  | SCSS               |         88 |          0 |         18 |        106 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-login\f-login.vue                                                   | Vue                |        283 |          7 |         62 |        352 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-purchases-modal\f-purchases-modal.scss                              | SCSS               |         60 |          0 |         15 |         75 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-purchases-modal\f-purchases-modal.vue                               | Vue                |        116 |          0 |          9 |        125 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-refer-friends\f-refer-friends.scss                                  | SCSS               |         35 |          0 |          5 |         40 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-refer-friends\f-refer-friends.vue                                   | Vue                |         46 |          0 |         10 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-referrals-modal\f-referrals-modal.scss                              | SCSS               |         58 |          6 |         14 |         78 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-referrals-modal\f-referrals-modal.vue                               | Vue                |        145 |          0 |         21 |        166 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-registration-buy\f-registration-buy.scss                            | SCSS               |        315 |          9 |         76 |        400 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-registration-buy\f-registration-buy.vue                             | Vue                |        755 |         14 |        154 |        923 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-registration\f-registration.scss                                    | SCSS               |        130 |          3 |         35 |        168 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-registration\f-registration.vue                                     | Vue                |        710 |         36 |        130 |        876 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-reset-password\f-reset-password.scss                                | SCSS               |         65 |          1 |         14 |         80 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-reset-password\f-reset-password.vue                                 | Vue                |        170 |          1 |         21 |        192 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-terms-modal\constants.ts                                            | TypeScript         |        263 |          0 |          1 |        264 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-terms-modal\f-terms-modal.scss                                      | SCSS               |        164 |          0 |         30 |        194 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-terms-modal\f-terms-modal.vue                                       | Vue                |        109 |          0 |          9 |        118 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-withdrawal-modal\f-withdrawal-modal.scss                            | SCSS               |         71 |          7 |         16 |         94 |
| e:\VSCODE\WORK\bitcoinetf.org\src\features\f-withdrawal-modal\f-withdrawal-modal.vue                             | Vue                |        190 |          0 |         28 |        218 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\auth.vue                                                               | Vue                |         21 |          0 |          2 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\default.vue                                                            | Vue                |        124 |          0 |         24 |        148 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\empty.vue                                                              | Vue                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\site-dark-launch.vue                                                   | Vue                |         66 |          0 |         15 |         81 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\site-dark.vue                                                          | Vue                |         66 |          0 |         15 |         81 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\site-texts.vue                                                         | Vue                |         67 |          0 |         15 |         82 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\site-tutorials.vue                                                     | Vue                |         98 |          0 |         20 |        118 |
| e:\VSCODE\WORK\bitcoinetf.org\src\layouts\site.vue                                                               | Vue                |         10 |          0 |          3 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\auth\google.vue                                                          | Vue                |         46 |          0 |         10 |         56 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\auth\telegram.vue                                                        | Vue                |         53 |          0 |         13 |         66 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\bitcoin-education\[slug].vue                                             | Vue                |         54 |          0 |          4 |         58 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\bitcoin-education\index.vue                                              | Vue                |         49 |          0 |         18 |         67 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\blog-single\index.vue                                                    | Vue                |         42 |          0 |          4 |         46 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\blog\[slug].vue                                                          | Vue                |         57 |          0 |          6 |         63 |
| e:\VSCODE\WORK\bitcoinetf.org\src\pages\blog\index.vue                                                           | Vue                |         37 |          0 |         12 |         49 |
